Ticker,Class,Sector,K,T,GARCH_LLF,GARCH_BIC,GARCH_beta,LKV_LLF,LKV_BIC,LR_stat,LR_df,LR_pval,LR_reject05,BIC_favors_spline,Half_Life,Tenth_Life,Hundredth_Life,SE_alpha,SE_c,SE_R2,SE_n_lags,Slope_1_5d,Slope_5_21d,Slope_21_63d,Slope_63_252d,g_1,g_2,g_5,g_10,g_21,g_42,g_63,g_126,g_252
SPY,US Index,Broad Market,8,6599,-2466.548751,4967.958398,0.878943,-2409.866071,4915.599607,113.365359,7,0.000000,True,True,7,15,79,0.158116,4.751807,0.908540,98,-0.330689,-2.235832,-0.562956,-1.559219,1.000000,1.249236,0.596765,0.269935,0.032676,0.018464,0.014281,0.003832,0.001691
QQQ,US Index,Tech-Heavy,8,6599,-4051.638994,8138.138885,0.893929,-4008.071137,8112.009739,87.135715,7,0.000000,True,True,7,18,142,0.143466,5.072901,0.850284,97,-0.186137,-1.737559,-1.485210,-2.196157,1.000000,1.091529,0.721322,0.292150,0.065164,0.016896,0.012778,0.012792,0.000881
IWM,US Index,Small Cap,8,6498,-4409.800722,8854.395500,0.899183,-4384.045214,8863.774085,51.511015,7,0.000000,True,False,9,18,94,0.347328,1.172533,0.954393,97,-0.180563,-1.761170,-0.773510,-1.021172,1.000000,1.169303,0.745636,0.365288,0.074684,0.044623,0.027441,0.005225,0.005596
DIA,US Index,Blue Chip,8,6599,-2122.872060,4280.605017,0.870747,-2079.864023,4255.595510,86.016076,7,0.000000,True,True,7,14,76,0.243167,2.551238,0.914038,98,-0.367912,-2.244842,-0.369258,-1.917077,1.000000,1.198031,0.565234,0.266252,0.031941,0.024186,0.016392,0.001796,0.001058
MDY,US Index,Mid Cap,8,6599,-3527.583843,7090.028583,0.890680,-3495.624551,7087.116567,63.918584,7,0.000000,True,True,8,17,83,0.315885,1.520594,0.961631,98,-0.234233,-1.857821,-0.890457,-0.983819,1.000000,1.045402,0.677437,0.299191,0.058704,0.032008,0.019181,0.003885,0.004117
XLK,Sector ETF,Technology,8,6599,-4133.745273,8302.351443,0.899171,-4085.127562,8266.122588,97.235424,7,0.000000,True,True,6,19,142,0.164022,4.153185,0.872961,98,-0.363723,-1.366175,-1.674808,-2.614712,1.000000,1.173711,0.558049,0.278492,0.079961,0.018525,0.013251,0.013478,0.000549
XLF,Sector ETF,Financials,8,6599,-4224.418680,8483.698257,0.876649,-4179.506630,8454.880724,89.824100,7,0.000000,True,True,5,14,77,0.190256,3.634395,0.967869,98,-0.476403,-1.753937,-0.939752,-1.600987,1.000000,1.129922,0.467289,0.198609,0.043690,0.021519,0.013981,0.003870,0.001533
XLE,Sector ETF,Energy,8,6599,-5443.139435,10921.139767,0.921314,-5429.903306,10955.674077,26.472259,7,0.000415,True,False,7,20,82,0.513963,0.531297,0.975111,98,-0.403636,-1.376855,-1.066761,-1.484357,1.000000,1.020086,0.536787,0.360191,0.090905,0.051500,0.024531,0.002336,0.002436
XLV,Sector ETF,Healthcare,8,6599,-2428.919256,4892.699407,0.883044,-2409.588495,4915.044453,38.661522,7,0.000002,True,False,7,17,83,0.772373,0.214740,0.552914,97,-0.229382,-1.788810,-0.668986,-25.986702,1.000000,1.021589,0.675237,0.286971,0.055811,0.013096,0.027850,0.000000,0.000000
XLP,Sector ETF,Consumer Staples,8,6599,-1376.850140,2788.561175,0.889036,-1362.172232,2820.211928,29.355816,7,0.000125,True,False,4,17,69,0.390729,1.125490,0.982096,98,-0.625284,-1.491446,-1.281867,-3.110369,1.000000,1.149509,0.392234,0.316567,0.057511,0.023527,0.012159,0.001345,0.000179
XLU,Sector ETF,Utilities,8,6599,-2934.913811,5904.688519,0.905474,-2915.950936,5927.769337,37.925750,7,0.000003,True,False,4,17,65,0.389241,1.142417,0.997782,99,-0.807038,-0.994367,-1.704505,-2.530513,1.000000,0.847315,0.284381,0.193695,0.070968,0.024525,0.010724,0.001612,0.000324
XLI,Sector ETF,Industrials,8,6599,-3381.449452,6797.759801,0.918094,-3357.465313,6810.798091,47.968278,7,0.000000,True,False,5,19,82,0.416445,0.872162,0.977126,98,-0.454258,-1.461325,-1.019874,-1.261309,1.000000,1.003694,0.498853,0.348057,0.076325,0.040406,0.021517,0.002999,0.003041
XLY,Sector ETF,Consumer Disc,8,6599,-3671.470426,7377.801747,0.895397,-3642.614026,7381.095516,57.712799,7,0.000000,True,False,8,18,92,0.258380,2.162134,0.939972,98,-0.289542,-1.744339,-1.206764,-1.232736,1.000000,1.080974,0.634484,0.354507,0.063551,0.022945,0.015297,0.006683,0.002838
XLB,Sector ETF,Materials,8,6599,-4203.783229,8442.427353,0.909792,-4170.710353,8437.288170,66.145752,7,0.000000,True,True,6,17,93,0.275184,1.826953,0.970589,99,-0.369582,-1.612824,-0.804600,-0.925244,1.000000,0.956703,0.550509,0.270247,0.065321,0.038197,0.023853,0.005484,0.005650
EWJ,International,Japan,8,6599,-3829.742446,7694.345788,0.893768,-3810.107388,7716.082241,39.270115,7,0.000002,True,False,4,13,69,0.269322,2.181103,0.995268,99,-0.508144,-1.403288,-1.430091,-2.414955,1.000000,0.589593,0.416353,0.139394,0.056904,0.023916,0.011963,0.002492,0.000449
EWG,International,Germany,8,6599,-4621.274175,9277.409245,0.909584,-4595.996359,9287.860183,50.555630,7,0.000000,True,False,10,17,88,0.327507,1.354116,0.920276,98,-0.456290,-1.820138,-0.407322,-1.366291,1.000000,1.263782,0.518902,0.456150,0.055681,0.039460,0.027014,0.003421,0.003468
EWU,International,UK,8,6599,-3621.264055,7277.389007,0.892057,-3597.898202,7291.663869,46.731707,7,0.000000,True,False,4,15,80,0.172156,4.186149,0.871692,98,-0.644433,-2.162139,-0.165551,-1.662465,1.000000,1.009121,0.392188,0.400057,0.029070,0.020307,0.017131,0.002783,0.001673
EWC,International,Canada,8,6599,-3617.401063,7269.663021,0.911041,-3590.116989,7276.101442,54.568147,7,0.000000,True,False,6,15,81,0.338969,1.335793,0.960169,99,-0.328950,-1.731981,-0.795989,-1.312265,1.000000,0.639665,0.564235,0.228362,0.058017,0.039120,0.021225,0.002625,0.002770
EWA,International,Australia,8,6599,-4639.813524,9314.487944,0.905696,-4613.133419,9322.134302,53.360210,7,0.000000,True,False,4,15,78,0.280500,1.950204,0.962798,99,-0.686213,-1.550019,-0.720498,-1.331699,1.000000,0.804333,0.344099,0.222269,0.047140,0.030833,0.017919,0.002306,0.002331
EWZ,International,Brazil,8,6465,-7140.263045,14315.298064,0.899613,-7121.887713,14339.398355,36.750664,7,0.000005,True,False,4,16,78,0.355587,1.249098,0.950628,99,-0.639177,-1.550984,-0.665683,-1.555633,1.000000,0.946575,0.375897,0.261798,0.052615,0.037460,0.020681,0.001848,0.001914
EWY,International,South Korea,8,6508,-5825.317788,11685.436301,0.903945,-5802.536693,11700.775379,45.562191,7,0.000000,True,False,9,18,93,0.337684,1.251652,0.952371,97,-0.136680,-1.826644,-0.794509,-1.018598,1.000000,1.339044,0.797868,0.355351,0.071697,0.041878,0.025865,0.005182,0.005342
FXI,International,China,8,5402,-5123.348268,10280.682865,0.912184,-5101.192064,10295.846533,44.312408,7,0.000000,True,False,5,24,114,0.291901,1.746406,0.940749,98,-0.586390,-0.713619,-2.222652,-3.016049,1.000000,1.354651,0.397611,0.214643,0.120732,0.023451,0.012157,0.008241,0.000274
EWH,International,Hong Kong,8,6599,-4445.627517,8926.115931,0.910714,-4427.209081,8950.285627,36.836872,7,0.000005,True,False,4,19,124,0.220586,2.832673,0.921378,99,-0.583205,-1.181885,-1.783804,-1.679805,1.000000,0.956263,0.405969,0.292638,0.079037,0.017675,0.011342,0.009782,0.001375
EWT,International,Taiwan,8,6479,-5039.485803,10113.752963,0.904452,-5009.371676,10114.392086,60.228253,7,0.000000,True,False,5,17,125,0.137238,4.897414,0.942328,98,-0.448330,-1.498343,-0.857919,-2.459456,1.000000,1.203476,0.497326,0.269410,0.065946,0.030744,0.023570,0.009770,0.001020
FXE,Currency,EUR/USD,8,5105,689.089762,-1344.443408,0.958405,691.949333,-1291.124347,5.719141,7,0.572900,False,False,26,53,115,1.022379,0.037406,0.978785,94,0.177222,-0.342768,-2.251507,-7.932000,1.000000,1.041769,1.236507,0.598767,0.634197,0.174535,0.064553,0.005465,0.000003
