Ticker,Class,Sector,T,BIC_winner,LLF_winner,GARCH_LLF,GARCH_BIC,GARCH_beta,SEARCH_LLF,SEARCH_BIC,SEARCH_alpha,SEARCH_c,GMARCH_LLF,GMARCH_BIC,GMARCH_delta,GMARCH_lam,GMARCH_H,FIGARCH_LLF,FIGARCH_BIC,FIGARCH_d,FIGARCH_phi,FIGARCH_beta1,HYGARCH_LLF,HYGARCH_BIC,HYGARCH_d,HYGARCH_tau
SPY,US Index,Broad Market,6599,FIGARCH,FIGARCH,-2466.548751,4967.958398,0.878943,-2440.008874,4923.593869,0.338775,1.598660,-2456.105435,4955.786989,-0.498766,0.055694,0.250617,-2421.903338,4896.098020,0.000203,0.836913,0.836535,-2421.908246,4904.823061,0.000225,0.979995
QQQ,US Index,Tech-Heavy,6599,FIGARCH,FIGARCH,-4051.638994,8138.138885,0.893929,-4031.655900,8106.887920,0.306677,1.713966,-4047.259538,8138.095196,-0.493250,0.046804,0.253375,-4020.039021,8092.369387,0.000297,0.863974,0.863671,-4020.041919,8101.090406,0.000339,0.764896
IWM,US Index,Small Cap,6498,SEARCH,HYGARCH,-4409.800722,8854.395500,0.899183,-4400.203187,8843.898945,0.374269,1.123446,-4406.936658,8857.365888,-0.419103,0.048659,0.290449,-4396.419438,8845.029961,0.000307,0.894517,0.894219,-4395.862496,8852.614591,0.000230,0.693158
DIA,US Index,Blue Chip,6599,FIGARCH,FIGARCH,-2122.872060,4280.605017,0.870747,-2101.832173,4247.240467,0.403848,1.169624,-2115.090110,4273.756341,-0.495710,0.059558,0.252145,-2093.350147,4238.991637,0.000190,0.845064,0.844650,-2093.350944,4247.708456,0.000204,0.576297
MDY,US Index,Mid Cap,6599,FIGARCH,FIGARCH,-3527.583843,7090.028583,0.890680,-3512.149932,7067.875985,0.346782,1.377729,-3521.564591,7086.705301,-0.499980,0.046850,0.250010,-3504.356968,7061.005280,0.000272,0.875985,0.875655,-3504.361248,7069.729064,0.000279,0.809302
XLK,Sector ETF,Technology,6599,FIGARCH,HYGARCH,-4133.745273,8302.351443,0.899171,-4103.403023,8250.382166,0.280208,1.933574,-4122.279167,8288.134454,-0.499997,0.044622,0.250001,-4097.446004,8247.183352,0.000257,0.874230,0.874038,-4097.443244,8255.893056,0.000305,0.959934
XLF,Sector ETF,Financials,6599,FIGARCH,HYGARCH,-4224.418680,8483.698257,0.876649,-4193.022667,8429.621454,0.255834,2.454673,-4211.250308,8466.076735,-0.497458,0.053948,0.251271,-4186.387306,8425.065957,0.000384,0.839655,0.839123,-4186.386057,8433.778681,0.000378,0.900204
XLE,Sector ETF,Energy,6599,SEARCH,HYGARCH,-5443.139435,10921.139767,0.921314,-5434.944565,10913.465251,0.444674,0.770417,-5437.451947,10918.480014,-0.426553,0.040317,0.286724,-5434.828967,10921.949277,0.000581,0.920449,0.919855,-5434.828795,10930.664158,0.000556,1.000000
XLV,Sector ETF,Healthcare,6599,FIGARCH,FIGARCH,-2428.919256,4892.699407,0.883044,-2422.013145,4887.602409,0.459963,0.850038,-2426.965124,4897.506369,-0.418710,0.061188,0.290645,-2415.559173,4883.409691,0.000258,0.866854,0.866418,-2415.562032,4892.130633,0.000473,0.458984
XLP,Sector ETF,Consumer Staples,6599,SEARCH,SEARCH,-1376.850140,2788.561175,0.889036,-1368.693847,2780.963814,0.481997,0.770106,-1371.555235,2786.686590,-0.474824,0.053187,0.262588,-1369.547239,2791.385821,0.000328,0.881295,0.880566,-1369.547936,2800.102441,0.000483,0.678333
XLU,Sector ETF,Utilities,6599,SEARCH,SEARCH,-2934.913811,5904.688519,0.905474,-2917.173562,5877.923245,0.348015,1.432614,-2920.007572,5883.591265,-0.499993,0.044640,0.250003,-2918.708043,5889.707431,0.090663,0.973356,0.943243,-2918.708044,5898.422655,0.090665,0.999999
XLI,Sector ETF,Industrials,6599,SEARCH,FIGARCH,-3381.449446,6797.759789,0.918094,-3363.817549,6771.211219,0.401123,0.985206,-3368.767330,6781.110780,-0.499931,0.036945,0.250035,-3363.219683,6778.730711,0.000259,0.905115,0.904867,-3363.222146,6787.450860,0.000292,0.999981
XLY,Sector ETF,Consumer Disc,6599,FIGARCH,HYGARCH,-3671.470426,7377.801747,0.895397,-3658.187032,7359.950185,0.338137,1.399950,-3668.416164,7380.408448,-0.499924,0.042225,0.250038,-3649.134684,7350.560711,0.000337,0.881458,0.881077,-3649.128580,7359.263729,0.000620,0.460181
