Ticker,Class,T,R,h,n_eval,Best,GARCH_QLIKE,SEARCH_QLIKE,GMARCH_QLIKE,FIGARCH_QLIKE,HYGARCH_QLIKE,DM_SEARCH_stat,DM_SEARCH_pval,DM_GMARCH_stat,DM_GMARCH_pval,DM_FIGARCH_stat,DM_FIGARCH_pval,DM_HYGARCH_stat,DM_HYGARCH_pval,DM_SvF_stat,DM_SvF_pval
SPY,US Index,6599,4619,1,1980,FIGARCH,1.523339,1.503980,1.521916,1.494171,1.494181,0.809890,0.418004,1.052985,0.292348,1.351097,0.176664,1.349100,0.177305,-1.679621,0.093031
SPY,US Index,6599,4619,5,1976,FIGARCH,1.626153,1.610061,1.624606,1.590961,1.590982,0.525758,0.599056,0.895059,0.370755,1.225494,0.220389,1.223642,0.221087,-2.350889,0.018729
SPY,US Index,6599,4619,10,1971,GMARCH,1.762294,1.781136,1.761781,1.764214,1.764195,-0.606337,0.544291,0.382791,0.701874,-0.072552,0.942163,-0.071837,0.942732,-1.175245,0.239897
SPY,US Index,6599,4619,22,1959,GARCH,2.075102,2.195811,2.078679,2.150143,2.150006,-1.449740,0.147131,-1.430059,0.152700,-1.334898,0.181910,-1.335796,0.181616,-1.524552,0.127371
SPY,US Index,6599,4619,44,1937,GARCH,2.281564,2.503331,2.290309,2.399201,2.398905,-1.674951,0.093944,-1.538901,0.123829,-1.992831,0.046280,-1.994589,0.046088,-1.366126,0.171899
SPY,US Index,6599,4619,66,1915,GARCH,2.239204,2.453138,2.247068,2.377672,2.377303,-1.970568,0.048773,-1.756789,0.078954,-2.273624,0.022989,-2.276555,0.022813,-1.477410,0.139566
SPY,US Index,6599,4619,88,1893,GARCH,2.232135,2.428215,2.238841,2.381318,2.380852,-2.369767,0.017799,-1.884842,0.059451,-2.756210,0.005848,-2.762017,0.005745,-1.524220,0.127454
SPY,US Index,6599,4619,110,1871,GARCH,2.178747,2.325603,2.183095,2.316031,2.315487,-2.844746,0.004445,-2.181824,0.029123,-3.104607,0.001905,-3.113765,0.001847,-0.866568,0.386179
SPY,US Index,6599,4619,132,1849,GARCH,2.173893,2.288878,2.176766,2.302730,2.302109,-2.854410,0.004312,-1.928920,0.053741,-3.196968,0.001389,-3.207661,0.001338,1.594707,0.110778
SPY,US Index,6599,4619,154,1827,GARCH,2.170496,2.317874,2.173527,2.321995,2.321367,-2.444971,0.014486,-1.837302,0.066165,-2.957424,0.003102,-2.964753,0.003029,0.353476,0.723732
