Ticker,Class,T,R,P,Best_QLIKE,GARCH_QLIKE,GARCH_MSE,SEARCH_QLIKE,SEARCH_MSE,GMARCH_QLIKE,GMARCH_MSE,FIGARCH_QLIKE,FIGARCH_MSE,HYGARCH_QLIKE,HYGARCH_MSE,DM_SEARCH_stat,DM_SEARCH_pval,DM_GMARCH_stat,DM_GMARCH_pval,DM_FIGARCH_stat,DM_FIGARCH_pval,DM_HYGARCH_stat,DM_HYGARCH_pval,DM_SvF_stat,DM_SvF_pval,GARCH_beta,SEARCH_alpha,GMARCH_delta,FIGARCH_d,SEARCH_pct_gain,GMARCH_pct_gain,FIGARCH_pct_gain,HYGARCH_pct_gain
SPY,US Index,6599,4619,1980,FIGARCH,1.523339,25.650507,1.503980,25.497874,1.521916,25.626753,1.494171,25.170204,1.494181,25.170987,0.809889,0.418004,1.052985,0.292348,1.351097,0.176664,1.349100,0.177305,-1.679621,0.093031,0.881379,0.348318,-0.053153,0.000248,1.270850,0.093442,1.914765,1.914107
QQQ,US Index,6599,4619,1980,HYGARCH,1.499290,38.378433,1.492939,37.938118,1.501522,38.367103,1.482762,37.579739,1.482687,37.580500,0.438887,0.660744,-0.182912,0.854867,1.320424,0.186694,1.334510,0.182037,-2.446094,0.014441,0.902708,0.302556,-0.499525,0.000270,0.423612,-0.148895,1.102386,1.107406
IWM,US Index,6498,4548,1950,HYGARCH,1.394536,49.812307,1.389599,49.108105,1.393508,49.525634,1.386605,49.192720,1.386590,49.184810,0.775455,0.438071,0.182208,0.855419,1.355191,0.175357,1.374464,0.169298,-0.831224,0.405847,0.908228,0.382022,-0.499949,0.000231,0.353959,0.073720,0.568713,0.569764
DIA,US Index,6599,4619,1980,SEARCH,1.545041,33.441940,1.524943,33.121488,1.547594,33.509325,1.525028,32.881395,1.525119,32.885666,1.106062,0.268700,-1.437267,0.150642,1.274511,0.202482,1.272103,0.203337,0.015057,0.987987,0.877344,0.449093,0.081755,0.000122,1.300779,-0.165266,1.295309,1.289440
MDY,US Index,6599,4619,1980,FIGARCH,1.415517,50.885450,1.411160,50.236097,1.415092,51.100239,1.405973,49.712455,1.405986,49.721836,0.508638,0.611006,0.056647,0.954826,1.222129,0.221659,1.226186,0.220129,-1.317616,0.187632,0.901394,0.341217,-0.498366,0.000267,0.307792,0.030077,0.674295,0.673357
XLK,Sector ETF,6599,4619,1980,HYGARCH,1.480698,65.070506,1.465717,64.534560,1.475561,65.053920,1.457658,63.859905,1.457588,63.858242,0.967440,0.333324,0.414738,0.678334,1.683874,0.092206,1.687186,0.091568,-1.975754,0.048183,0.908706,0.303653,-0.497451,0.000396,1.011745,0.346928,1.556001,1.560751
XLF,Sector ETF,6599,4619,1980,FIGARCH,1.408615,61.269760,1.398325,59.323326,1.404805,60.373846,1.392784,58.610173,1.392851,58.626012,1.646425,0.099676,0.849787,0.395444,2.801702,0.005083,2.804404,0.005041,-1.535606,0.124635,0.895869,0.300388,-0.497029,0.000329,0.730521,0.270453,1.123866,1.119109
XLE,Sector ETF,6599,4619,1980,FIGARCH,1.501944,246.746737,1.500107,244.445488,1.500201,246.132810,1.497213,245.420153,1.497347,245.458603,0.485909,0.627032,0.435813,0.662972,1.729782,0.083669,1.694616,0.090148,-1.109930,0.267029,0.921107,0.518189,-0.400566,0.000338,0.122337,0.116026,0.314982,0.306099
XLV,Sector ETF,6599,4619,1980,HYGARCH,1.459095,12.302310,1.455199,12.365027,1.457778,12.328783,1.453067,12.251627,1.452133,12.205932,0.458865,0.646331,0.341482,0.732741,0.841183,0.400245,0.979005,0.327578,-0.580633,0.561488,0.886768,0.456737,-0.300082,0.000505,0.266974,0.090221,0.413123,0.477111
XLP,Sector ETF,6599,4619,1980,HYGARCH,1.457464,11.155144,1.454076,10.816517,1.456136,10.868352,1.452630,10.833374,1.452468,10.828021,0.480748,0.630695,0.204751,0.837767,0.817811,0.413465,0.845477,0.397845,-0.489843,0.624245,0.896881,0.461036,-0.499990,0.000393,0.232462,0.091071,0.331658,0.342770
