Ticker,Class,alpha,alpha_se,P_search,reject_exp_boot,p_boot,reject_longmem_boot,verdict,identified_flag,excl_reason,excl_a,excl_b,excl_c,excl_d,excl_e
BNO,Commodity,0.5908938003407239,0.3032260259752484,0.9014235200411064,False,0.128,True,indeterminate,True,,False,False,False,False,False
CORN,Commodity,0.9242247333737376,0.3521027225180657,0.7344861647998968,False,0.858,True,indeterminate,True,,False,False,False,False,False
CPER,Commodity,0.7599617986497551,0.5437564825517699,0.99947399024421,False,0.65,True,summable,True,,False,False,False,False,False
DBA,Commodity,0.8346041421895679,0.2259964906953203,0.9104834324699288,False,0.542,True,summable,True,,False,False,False,False,False
DBB,Commodity,0.321798034075121,0.1003467582886926,0.8938790121141278,True,0.006,True,summable,True,,False,False,False,False,False
DBC,Commodity,0.3603722495570947,0.1229707192062407,0.9048985758596793,True,0.002,True,summable,True,,False,False,False,False,False
GLD,Commodity,0.4973450908818649,0.1506889120077886,0.9087326946224128,True,0.036,True,indeterminate,True,,False,False,False,False,False
PALL,Commodity,0.1010634406936204,0.1233858071257073,0.9257910141340336,True,0.002,True,summable,False,degenerate_SE,False,False,False,False,True
PPLT,Commodity,0.3146169553024434,0.1797743078386103,0.94162846439111,True,0.008,True,summable,True,,False,False,False,False,False
SLV,Commodity,0.4739874344158739,0.1739484451519882,0.9393007277889333,True,0.028,True,indeterminate,True,,False,False,False,False,False
SOYB,Commodity,1.2701981119710313,0.4769262911909665,0.7098530457763293,False,0.55,True,indeterminate,True,,False,False,False,False,False
UNG,Commodity,1.6850497481040998,0.3731018198378102,0.953903891974475,True,0.036,True,indeterminate,True,,False,False,False,False,False
URA,Commodity,0.3212042119141355,0.3155960067291685,0.8828238187750701,False,0.198,True,indeterminate,True,,False,False,False,False,False
USO,Commodity,0.729331699236438,0.2077051586057255,0.8779361675625905,False,0.21,True,indeterminate,True,,False,False,False,False,False
WEAT,Commodity,0.3986012266290337,0.3313859908751692,0.7045745435239054,False,0.06,True,indeterminate,True,,False,False,False,False,False
WOOD,Commodity,0.2309923170516161,0.0673990651977171,0.7362228496965961,True,0.002,True,indeterminate,True,,False,False,False,False,False
ADA-USD,Cryptocurrency,3.0,2.1126280811495595,0.6764761262872786,True,0.004,False,long-memory,False,alpha_capped,False,True,False,False,False
BTC-USD,Cryptocurrency,0.5828153480739399,1.2127380121818003,0.8170642682385643,False,0.624,True,indeterminate,False,degenerate_SE,False,False,False,False,True
DOT-USD,Cryptocurrency,0.2107526677761996,0.1776168136263345,0.958609977424859,False,0.126,False,long-memory,True,,False,False,False,False,False
ETH-USD,Cryptocurrency,0.1694152343064189,0.162719658048574,0.8251789483998873,True,0.014,False,long-memory,True,,False,False,False,False,False
LTC-USD,Cryptocurrency,0.5389874632084272,0.7073447178065496,0.7054171335747113,False,0.686,True,indeterminate,False,degenerate_SE,False,False,False,False,True
SOL-USD,Cryptocurrency,0.0023161786644851,0.0004202393755014,0.8744090198069165,True,0.002,False,indeterminate,False,alpha<0.05_floor,True,False,False,False,False
XRP-USD,Cryptocurrency,0.0022451017967181,0.001399214973045,0.7449440865634409,True,0.016,False,indeterminate,False,alpha<0.05_floor,True,False,False,False,False
CEW,Currency,0.2036941248537037,0.0942075062638672,0.709810060436251,True,0.002,True,summable,True,,False,False,False,False,False
FXA,Currency,0.5199070109931002,0.1634360527860051,0.8251505836528922,False,0.088,True,indeterminate,True,,False,False,False,False,False
FXB,Currency,0.5406891654276651,0.1533597429742452,0.8691328894015583,False,0.15,True,summable,True,,False,False,False,False,False
FXC,Currency,0.9768040602783876,0.5434361912953837,0.8984530195639572,False,0.966,True,summable,True,,False,False,False,False,False
FXE,Currency,1.1810948096567877,0.4194686602004146,0.9000862726914137,False,0.614,True,summable,True,,False,False,False,False,False
FXF,Currency,3.0,0.5362107142370373,1.00115036579747,False,0.314,True,summable,False,alpha_capped,False,True,False,True,False
FXY,Currency,0.2894789423752877,0.1185480833557549,0.8824751563889306,True,0.002,True,summable,True,,False,False,False,False,False
USDU,Currency,0.1773093859721507,0.1337557140717065,0.6368901043352089,True,0.006,True,indeterminate,True,,False,False,False,False,False
UUP,Currency,0.5368085414196756,0.1724448501437311,0.912126386030568,False,0.258,True,summable,True,,False,False,False,False,False
MTUM,Factor ETF,0.3112283395897288,0.3089152852213201,0.8387465583679745,True,0.02,True,summable,True,,False,False,False,False,False
QUAL,Factor ETF,0.2545402929552389,0.097795707778668,0.8608121982913981,True,0.002,True,indeterminate,True,,False,False,False,False,False
SIZE,Factor ETF,0.2931728475608531,0.1029639470826835,0.8348841639184107,True,0.002,True,indeterminate,True,,False,False,False,False,False
USMV,Factor ETF,0.1990540179854246,0.0925422314460896,0.7560641906599054,True,0.002,True,summable,True,,False,False,False,False,False
VLUE,Factor ETF,0.1709431388096456,0.0904191484751234,0.8805059752663756,True,0.002,True,indeterminate,True,,False,False,False,False,False
AGG,Fixed Income,0.8278007859837628,0.1605203017766347,0.8743609772702446,False,0.35,True,indeterminate,True,,False,False,False,False,False
BND,Fixed Income,0.7052330928492484,0.2079057626011638,0.8570365755030621,False,0.102,True,indeterminate,True,,False,False,False,False,False
BNDX,Fixed Income,0.2765400623429389,0.1546837343156708,0.9210104008734248,True,0.02,True,summable,True,,False,False,False,False,False
BWX,Fixed Income,0.3392964738822633,0.1132556496532,0.8611345617765634,True,0.004,True,summable,True,,False,False,False,False,False
