alpha_true,T,innov,rejection_rate,n_reps,n_requested,B_boot,elapsed_s,mc_se
1.0,3000,t5,0.048,500,500,199,1003.2860271930696,0.009559916317625379
0.9,3000,t5,0.054,500,500,199,1064.3228588104248,0.010107818755794942
0.8,3000,t5,0.06,500,500,199,938.3681530952454,0.010620734437881401
0.7,3000,t5,0.118,500,500,199,1108.3663733005524,0.014427473791346842
0.6,3000,t5,0.18,500,500,199,970.7159903049468,0.017181385275931625
0.5,3000,t5,0.284,500,500,199,1267.4451084136963,0.020166506886419373
1.0,6654,t5,0.03,500,500,199,1420.65797829628,0.00762889244910426
0.9,6654,t5,0.054,500,500,199,1333.427132844925,0.010107818755794942
0.8,6654,t5,0.098,500,500,199,1442.50759100914,0.013296315279053818
0.7,6654,t5,0.256,500,500,199,1564.8730170726776,0.01951737687293044
0.6,6654,t5,0.398,500,500,199,1534.9549014568329,0.02189045454073533
0.5,6654,t5,0.608,500,500,199,1822.17475938797,0.021832819332372078
1.0,10000,t5,0.048,500,500,199,1851.422830104828,0.009559916317625379
0.9,10000,t5,0.054,500,500,199,1275.9621472358704,0.010107818755794942
0.8,10000,t5,0.148,500,500,199,1284.1875126361847,0.015880554146502572
